index,BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
1498,3,others,0.65,4407.0,1475.0,3,Semi-Furnished,West,available,2,2,Garden/Park,Hydrabad
1499,3,others,1.5,7500.0,2000.0,1,Unfurnished,East,available,3,2,Garden/Park,Hydrabad
0,3,Wadala,4.35,39013.0,1115.0,,Unfurnished,,not sure,3,,,Mumbai
1,1,others,0.67,16792.0,399.0,,Unfurnished,,not sure,2,,,Mumbai
2,2,Kandivali,2.25,20872.0,1078.0,,Unfurnished,,available,2,,,Mumbai
3,2,others,1.8,28892.0,623.0,,Unfurnished,,available,2,,,Mumbai
4,1,others,0.33,9116.0,362.0,,Unfurnished,,not sure,2,,,Mumbai
5,1,Bhandup,1.02,23666.0,431.0,,Semi-Furnished,,not sure,2,,,Mumbai
6,2,Chembur,2.3,35549.0,647.0,,Unfurnished,,not sure,2,,,Mumbai
7,4,Mulund,5.2,25440.0,2044.0,,Unfurnished,,available,4+,,,Mumbai
8,2,Wadala,3.34,40338.0,828.0,,Unfurnished,,not sure,2,,,Mumbai
9,2,Bandra,2.6,40248.0,646.0,,Unfurnished,,available,2,,,Mumbai
10,2,Borivali,1.9,22892.0,830.0,,Unfurnished,,available,2,,,Mumbai
11,2,Mulund,1.7,24709.0,688.0,,Semi-Furnished,,not sure,2,,,Mumbai
12,4,Powai,8.52,53958.0,1579.0,,Unfurnished,,not sure,4,3,,Mumbai
13,2,Mira Road,0.985,16444.0,599.0,,Unfurnished,,not sure,2,,,Mumbai
14,2,Wadala,2.84,31556.0,900.0,,Unfurnished,,not sure,2,1,,Mumbai
15,1,Mira Road,0.691,15493.0,446.0,,Unfurnished,,not sure,2,1,,Mumbai
16,2,Andheri,2.99,41877.0,714.0,,Unfurnished,,not sure,2,1,,Mumbai
17,2,Kandivali,1.85,28331.0,653.0,,Unfurnished,,not sure,2,1,,Mumbai
18,3,Mulund,2.75,26855.0,1024.0,,Unfurnished,,not sure,3,1,,Mumbai
19,2,Wadala,1.31,27850.0,473.0,,Unfurnished,,not sure,2,,,Mumbai
20,2,Kandivali,1.7,25758.0,660.0,,Unfurnished,,not sure,2,,,Mumbai
21,2,others,2.22,29839.0,744.0,,Unfurnished,,not sure,2,,,Mumbai
22,2,Malad,1.99,29051.0,685.0,,Unfurnished,,not sure,2,1,,Mumbai
23,3,others,7.5,44431.0,1688.0,,Unfurnished,,not sure,3,1,,Mumbai
24,2,Bandra,3.7,46658.0,793.0,,Unfurnished,,not sure,2,,,Mumbai
25,3,Chembur,6.1,39103.0,1560.0,,Unfurnished,,not sure,3,2,,Mumbai
26,1,Kandivali,0.78,18440.0,423.0,,Unfurnished,,not sure,2,,,Mumbai
27,3,Wadala,3.9,34121.0,1143.0,,Unfurnished,,not sure,2,2,,Mumbai
28,1,Mira Road,0.691,15493.0,446.0,,Unfurnished,,not sure,1,,,Mumbai
29,3,others,6.77,60936.0,1111.0,,Unfurnished,,not sure,3,1,,Mumbai
30,3,Malad,4.61,32905.0,1401.0,,Unfurnished,,not sure,3,1,,Mumbai
31,3,Chembur,3.65,36550.0,1000.0,,Unfurnished,,not sure,3,1,,Mumbai
32,1,Malad,0.63,14157.0,445.0,,Unfurnished,,not sure,1,1,,Mumbai
33,1,Kandivali,1.01,20141.0,501.0,,Unfurnished,,not sure,2,,,Mumbai
34,2,Wadala,1.66,27393.0,606.0,,Unfurnished,,not sure,2,,,Mumbai
35,3,Chembur,3.56,36550.0,974.0,,Unfurnished,,not sure,2,1,,Mumbai
36,1,Mulund,0.6,18519.0,324.0,,Unfurnished,,available,1,1,,Mumbai
37,2,others,2.8,33333.0,840.0,,Unfurnished,,not sure,2,,,Mumbai
