,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
374,3 BHK Apartment for Sale in Block 3rd East Jayanagar Bangalore,"3 Cr13,636 per sqft",NAN,2200 sqft,Ready to Move,1 out of 5,New Property,Semi-Furnished,NAN,NAN,NAN,NAN,3,2,NAN,NAN
375,2 BHK Apartment for Sale in Varthur Bangalore,"68 Lac5,965 per sqft",NAN,1140 sqft,Ready to Move,4 out of 4,Resale,Semi-Furnished,North,NAN,Freehold,NAN,2,1,"Main Road, Garden/Park, Pool",NAN
376,"3 BHK Apartment for Sale in Ecc Road, Whitefield Bangalore","1.40 Cr9,340 per sqft",NAN,1499 sqft,Ready to Move,3 out of 4,Resale,Unfurnished,East,NAN,Freehold,NAN,3,2,NAN,NAN
377,2 BHK Apartment for Sale in ROYAL SUNRISE APARTMENTS Bangalore,1.20 Cr,1380 sqft,NAN,Ready to Move,4 out of 4,Resale,Semi-Furnished,East,NAN,Freehold,NAN,2,1,Garden/Park,NAN
378,2 BHK Apartment for Sale in Whitefield Bangalore,"1 Cr7,692 per sqft",950 sqft,NAN,Ready to Move,1 out of 4,Resale,Unfurnished,East,NAN,Freehold,1 Covered,2,2,"Garden/Park, Pool, Main Road",NAN
379,1 BHK Apartment for Sale in Kogilu Bangalore,"58.5 Lac9,000 per sqft",NAN,650 sqft,NAN,8 out of 12,Resale,Unfurnished,North,NAN,Freehold,NAN,1,1,NAN,Poss. by Jul '24
380,3 BHK Apartment for Sale in Hsr Layout Bangalore,"1.43 Cr9,239 per sqft",1200 sqft,NAN,NAN,2 out of 4,Resale,Unfurnished,East,NAN,Freehold,"1 Covered,",2,2,"Garden/Park, Main Road",Poss. by May '26
381,2 BHK Apartment for Sale in Bangalore,80 Lac,950 sqft,NAN,Ready to Move,1 out of 1,Resale,Semi-Furnished,West,NAN,Co-operative Society,NAN,2,1,Main Road,NAN
382,3 BHK Apartment for Sale in Bangalore,90 Lac,1350 sqft,NAN,Ready to Move,1 out of 5,Resale,Unfurnished,East,NAN,Freehold,NAN,2,1,Pool,NAN
383,2 BHK Apartment for Sale in Sarjapura Bangalore,"1.10 Cr11,653 per sqft",NAN,944 sqft,NAN,22 out of 29,Resale,Unfurnished,West,NAN,NAN,NAN,2,1,NAN,Poss. by May '25
384,2 BHK Apartment for Sale in Budigere Cross Bangalore,"1.15 Cr9,656 per sqft",NAN,1191 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,Poss. by Jan '29
385,4 BHK Apartment for Sale in Block 9th Jayanagara Bangalore,"4.80 Cr14,902 per sqft",2267 sqft,NAN,Ready to Move,12 out of 23,New Property,Unfurnished,North,NAN,Freehold,2 Covered,5,3,"Garden/Park, Main Road",NAN
386,"> 10 BHK Apartment for Sale in near embassy tech Village back gate,, Bangalore","5 Cr7,143 per sqft",1200 sqft,NAN,Ready to Move,6 out of 6,Resale,Furnished,South -West,NAN,Freehold,1 Covered,> 10,> 10,Main Road,NAN
387,3 BHK Apartment for Sale in Phase 6 JP Nagar Bangalore,"2.05 Cr10,240 per sqft",1850 sqft,NAN,Ready to Move,17 out of 19,Resale,Unfurnished,West,NAN,Freehold,NAN,3,2,"Garden/Park, Pool, Main Road",NAN
388,3 BHK Apartment for Sale in Kanakapura Bangalore,"2.50 Cr13,383 per sqft",NAN,1868 sqft,Ready to Move,12 out of 24,New Property,Unfurnished,North,NAN,Freehold,1 Covered,3,2,Main Road,NAN
389,4 BHK Apartment for Sale in Benson Town Bangalore,"5 Cr13,947 per sqft",3250 sqft,NAN,Ready to Move,2 out of 5,New Property,Semi-Furnished,North - East,NAN,Freehold,2 Covered,4,2,Main Road,NAN
390,4 BHK Apartment for Sale in Defence Colony Domlur Bangalore,"7.75 Cr12,917 per sqft",NAN,6000 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,West,NAN,Freehold,3 Covered,6,5,Garden/Park,NAN
391,4 BHK Apartment for Sale in Hulimavu Bangalore,"3.70 Cr12,333 per sqft",1988 sqft,NAN,NAN,12 out of 30,New Property,Unfurnished,East,NAN,Freehold,2 Covered,5,2,"Garden/Park, Pool",Poss. by Dec '27
392,2 BHK Apartment for Sale in Krishnarajapura Bangalore,"85 Lac6,967 per sqft",NAN,1220 sqft,Ready to Move,3 out of 5,Resale,Furnished,NAN,NAN,NAN,NAN,2,NAN,Main Road,NAN
393,3 BHK Apartment for Sale in Nice Ring Road Bangalore,"1.90 Cr11,515 per sqft",1400 sqft,NAN,Ready to Move,5 out of 10,Resale,Unfurnished,North,NAN,Freehold,1 Covered,3,3,Main Road,NAN
394,"3 BHK Apartment for Sale in Banashankari Stage 2, Bangalore Bangalore","3 Cr12,029 per sqft",NAN,2494 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,North,NAN,Freehold,"1 Covered,",3,NAN,Garden/Park,NAN
395,3 BHK Apartment for Sale in Frazer Town Bangalore,"2.15 Cr11,467 per sqft",1500 sqft,NAN,Ready to Move,2 out of 4,Resale,Semi-Furnished,NAN,NAN,NAN,"1 Covered,",3,2,"Garden/Park, Main Road",NAN
396,4 BHK Apartment for Sale in Whitefield Bangalore,"6.10 Cr14,838 per sqft",NAN,4111 sqft,Ready to Move,14 out of 16,Resale,Semi-Furnished,East,NAN,Freehold,2 Covered,5,2,Garden/Park,NAN
397,3 BHK Apartment for Sale in Southegowdanahalli Bangalore,"99.4 Lac6,635 per sqft",1003 sqft,NAN,Ready to Move,5 out of 13,New Property,Unfurnished,East,NAN,Freehold,"1 Covered,",3,3,"Garden/Park, Pool, Main Road",NAN
