,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
1022,"3 BHK Apartment for Sale in Princeton Floors, Sector 51 Gurgaon","1.75 Cr11,104 per sqft",1420 sqft,NAN,Ready to Move,2 out of 3,Resale,Furnished,NAN,Princeton Floors,Freehold,1 Open,4,2,Main Road,NAN
1023,"3 BHK Builder Floor for Sale in Unitech Greenwood City, Sector 45 Gurgaon","5 Cr25,000 per sqft",NAN,2000 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,NAN,Unitech Greenwood City,Freehold,2 Covered,3,2,NAN,NAN
1024,4 BHK Builder Floor for Sale in May Field Gardens Sector 51 Gurgaon,"2.70 Cr11,739 per sqft",NAN,2300 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,4,2,NAN,NAN
1025,"3 BHK Apartment for Sale in Adani Samsara, Sector 60 Gurgaon","2.50 Cr13,514 per sqft",NAN,1850 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,NAN,Adani Samsara,NAN,NAN,3,4,NAN,NAN
1026,"4 BHK Apartment for Sale in Dlf Belvedere Park , Block 5 Phase 3 DLF Gurgaon","2 Cr11,364 per sqft",NAN,1760 sqft,Ready to Move,10 out of 19,Resale,Unfurnished,NAN,Dlf Belvedere Park,NAN,NAN,4,2,NAN,NAN
1027,4 BHK Builder Floor for Sale in Sector 48 Gurgaon,"3.26 Cr9,588 per sqft",3150 sqft,NAN,Ready to Move,4 out of 4,New Property,Semi-Furnished,West,NAN,Freehold,NAN,4,3,"Garden/Park, Main Road",NAN
1028,"3 BHK Builder Floor for Sale in Signature Global City 37D, Sector 37D, Delhi Gurgaon Expressway Gurgaon","1.50 Cr10,417 per sqft",140 sqyrd,NAN,NAN,3 out of 4,Resale,Semi-Furnished,NAN,Signature Global City 37D,Freehold,"3 Covered,",2,2,"Garden/Park, Pool, Main Road",Poss. by Jul '24
1029,"5 BHK Apartment for Sale in Tulip Ace, Sector 89 Gurgaon","3 Cr7,442 per sqft",NAN,4031 sqft,Ready to Move,7 out of 11,Resale,Semi-Furnished,North - East,Tulip Ace,Freehold,NAN,5,5,"Garden/Park, Main Road",NAN
1030,2 BHK Apartment for Sale in Sector 89 Gurgaon Gurgaon,"1.05 Cr9,519 per sqft",NAN,1103 sqft,Ready to Move,3 out of 4,Resale,NAN,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1031,4 BHK Builder Floor for Sale in Block C Sushant Lok Phase 1 Gurgaon,"2.70 Cr17,386 per sqft",1325 sqft,NAN,Ready to Move,2 out of 4,Resale,Semi-Furnished,North - East,NAN,Freehold,"1 Covered,",3,2,"Garden/Park, Main Road",NAN
