index,BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
272.0,3,others,2.06,11977.0,1720.0,10+,Unfurnished,East,not sure,3,2,Garden/Park,Hydrabad
273.0,3,Miyapur,1.02,6799.0,1510.0,10+,Unfurnished,East,available,3,1,"Garden/Park, Main Road",Hydrabad
274.0,3,others,0.675,4698.0,1437.0,5,Unfurnished,West,available,3,2,"Garden/Park, Main Road, Pool",Hydrabad
275.0,3,NH 9,0.895,5491.0,1630.0,1,Unfurnished,North - East,not sure,3,1,Garden/Park,Hydrabad
276.0,3,others,0.9,6429.0,1400.0,3,Semi-Furnished,North - East,available,2,1,Main Road,Hydrabad
277.0,2,others,0.78,5769.0,1352.0,1,Unfurnished,West,not sure,2,2,"Garden/Park, Main Road",Hydrabad
278.0,3,others,2.5,8977.0,2785.0,0,Unfurnished,East,available,3,2,Garden/Park,Hydrabad
279.0,4,others,3.3,10280.0,3210.0,10+,Unfurnished,East,available,4,3,Main Road,Hydrabad
280.0,4,others,3.74,13381.0,2795.0,6,Furnished,West,available,3,4,"Garden/Park, Pool",Hydrabad
281.0,2,others,0.55,5670.0,970.0,2,Unfurnished,East,available,2,1,"Garden/Park, Main Road",Hydrabad
282.0,2,others,0.65,5677.0,1145.0,3,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
283.0,2,Miyapur,0.45,3947.0,1140.0,1,Semi-Furnished,East,available,2,2,Main Road,Hydrabad
284.0,2,Bachupally,1.05,8222.0,1277.0,5,Furnished,East,not sure,2,1,Main Road,Hydrabad
285.0,2,others,0.53,5248.0,1010.0,2,Unfurnished,West,not sure,2,1,Main Road,Hydrabad
286.0,3,Gachibowli,1.8,10989.0,1638.0,7,Unfurnished,East,not sure,3,1,Main Road,Hydrabad
287.0,3,Pragathi Nagar,1.2,5581.0,2150.0,0,Semi-Furnished,East,not sure,3,1,Main Road,Hydrabad
288.0,3,others,0.9,6977.0,1290.0,4,Semi-Furnished,West,available,2,1,Garden/Park,Hydrabad
289.0,3,others,0.92,5700.0,1614.0,1,Unfurnished,North - East,not sure,3,1,Main Road,Hydrabad
290.0,4,others,3.5,11609.0,3015.0,5,Furnished,North - East,not sure,4,1,Main Road,Hydrabad
291.0,3,others,0.8300000000000001,17433.2,1465.0,2,Unfurnished,East,available,2,1,Main Road,Hydrabad
292.0,3,Gachibowli,4.0,12251.0,3265.0,4,Unfurnished,West,not sure,4,2,"Garden/Park, Pool",Hydrabad
293.0,3,others,0.5670000000000001,4500.0,1260.0,2,Unfurnished,East,available,2,1,Main Road,Hydrabad
294.0,4+,Banjara Hills,1.85,3467.0,5336.0,4,Unfurnished,East,not sure,4+,4+,Main Road,Hydrabad
295.0,3,others,1.04,5503.0,1890.0,0,Unfurnished,West,not sure,3,2,"Garden/Park, Main Road",Hydrabad
296.0,2,Uppal,0.65,5200.0,1250.0,2,Unfurnished,East,available,2,1,"Garden/Park, Main Road",Hydrabad
297.0,3,Banjara Hills,3.16,13000.0,2438.0,3,Unfurnished,North,available,3,1,Main Road,Hydrabad
298.0,3,others,2.55,10200.0,2500.0,1,Furnished,North,available,3,2,Main Road,Hydrabad
299.0,2,Pragathi Nagar,0.7000000000000001,17676.0,1050.0,2,Semi-Furnished,East,available,2,1,Main Road,Hydrabad
300.0,3,others,0.76,4750.0,1600.0,2,Unfurnished,West,available,3,1,Garden/Park,Hydrabad
301.0,3,others,0.995,7107.0,1400.0,2,Semi-Furnished,East,available,2,1,"Garden/Park, Main Road, Pool",Hydrabad
302.0,2,others,0.75,5690.0,1318.0,5,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
303.0,3,others,0.8200000000000001,5125.0,1600.0,2,Unfurnished,East,available,3,2,Main Road,Hydrabad
304.0,3,Puppalguda,1.04,6500.0,1600.0,2,Unfurnished,East,not sure,3,1,Main Road,Hydrabad
305.0,3,others,0.8,9952.4,1515.0,5,Semi-Furnished,East,available,3,1,Garden/Park,Hydrabad
306.0,4,others,2.1,8077.0,2600.0,3,Semi-Furnished,West,available,3,2,Main Road,Hydrabad
307.0,2,Kompally,0.482,4500.0,1071.0,3,Unfurnished,East,available,2,2,"Garden/Park, Main Road, Pool",Hydrabad
308.0,3,others,1.2,7203.0,1666.0,5,Furnished,North,available,3,1,Main Road,Hydrabad
309.0,3,NH 9,1.6,6667.0,2400.0,5,Semi-Furnished,East,not sure,4,3,Main Road,Hydrabad
310.0,3,others,2.2,11110.0,1980.0,1,Unfurnished,East,not sure,3,2,"Garden/Park, Main Road",Hydrabad
311.0,2,others,0.93,8158.0,1140.0,3,Semi-Furnished,East,not sure,2,1,Main Road,Hydrabad
312.0,2,Kollur,0.866,6300.0,1375.0,6,Unfurnished,North,available,2,1,Garden/Park,Hydrabad
313.0,3,others,0.99,6513.0,1520.0,2,Unfurnished,North,not sure,3,2,Garden/Park,Hydrabad
314.0,3,others,0.99,6832.0,1449.0,5,Semi-Furnished,North,available,3,2,Main Road,Hydrabad
315.0,3,Outer Ring Road,0.98,5600.0,1750.0,3,Semi-Furnished,North,not sure,3,3,Main Road,Hydrabad
316.0,3,Pragathi Nagar,0.87,5724.0,1520.0,4,Unfurnished,East,not sure,3,3,Garden/Park,Hydrabad
317.0,2,others,0.65,5350.0,1215.0,2,Unfurnished,East,available,2,1,Main Road,Hydrabad
318.0,3,others,1.8,9000.0,2000.0,5,Semi-Furnished,East,not sure,3,2,Main Road,Hydrabad
319.0,2,Outer Ring Road,0.45,4592.0,980.0,1,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
320.0,3,others,1.3,8525.0,1525.0,5,Semi-Furnished,East,available,3,1,Garden/Park,Hydrabad
321.0,2,Nizampet,0.95,8190.0,1160.0,4,Furnished,East,available,2,1,Garden/Park,Hydrabad
322.0,2,others,0.45,4500.0,1000.0,2,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
323.0,3,Bachupally,1.99,11049.0,1801.0,2,Unfurnished,East,not sure,3,3,"Garden/Park, Main Road, Pool",Hydrabad
324.0,2,others,0.5,4098.0,1220.0,3,Furnished,East,available,2,1,Main Road,Hydrabad
325.0,3,others,1.45,6500.0,2231.0,3,Unfurnished,West,available,3,1,Main Road,Hydrabad
326.0,3,others,0.845,6377.0,1325.0,2,Unfurnished,East,not sure,3,2,Main Road,Hydrabad
327.0,3,Outer Ring Road,0.8690000000000001,5500.0,1580.0,3,Semi-Furnished,East,available,3,1,Main Road,Hydrabad
328.0,3,others,0.8,5161.0,1550.0,1,Unfurnished,East,available,3,1,Main Road,Hydrabad
329.0,3,others,1.05,7636.0,1375.0,4,Unfurnished,West,not sure,2,3,Main Road,Hydrabad
330.0,2,Outer Ring Road,0.55,4622.0,1190.0,4,Semi-Furnished,West,available,2,2,Main Road,Hydrabad
331.0,3,others,1.55,7945.0,1951.0,3,Unfurnished,East,not sure,3,3,Main Road,Hydrabad
332.0,3,Kompally,1.0,5556.0,1800.0,5,Unfurnished,East,available,3,2,Main Road,Hydrabad
333.0,4,Kokapet,4.1,11595.0,3536.0,10+,Unfurnished,East,available,4,3,"Garden/Park, Main Road, Pool",Hydrabad
334.0,3,Bandlaguda Jagir,1.55,7430.0,2095.0,10+,Unfurnished,East,not sure,3,2,Main Road,Hydrabad
335.0,3,others,0.8,7874.0,1016.0,3,Unfurnished,North,available,2,1,Main Road,Hydrabad
336.0,3,others,2.3,18400.0,1250.0,1,Unfurnished,East,available,3,2,Main Road,Hydrabad
