,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
370,"1 BHK Apartment for Sale in Ocean Breeze, Kandivali West Mumbai",78 Lac,423 sqft,NAN,NAN,Lower Basement out of 4,New Property,Semi-Furnished,North - East,Ocean Breeze,Freehold,NAN,1,1,"Garden/Park, Pool",NAN
371,2 BHK Apartment for Sale in Dadar West Mumbai,"3.76 Cr44,235 per sqft",800 sqft,NAN,NAN,8 out of 35,New Property,Semi-Furnished,North - East,NAN,Co-operative Society,NAN,2,1,"Pool, Garden/Park, Main Road",Poss. by Dec '25
372,"3 BHK Apartment for Sale in Paranjape Athena, Bandra East Mumbai","3.31 Cr23,679 per sqft",894 sqft,NAN,NAN,12 out of 14,New Property,Semi-Furnished,East,Paranjape Athena,Freehold,2 Covered,3,NAN,Main Road,Poss. by Jun '25
373,"1 BHK Apartment for Sale in Kalpataru Vivant, Andheri East Mumbai","1.22 Cr27,727 per sqft",440 sqft,NAN,NAN,16 out of 20,New Property,Unfurnished,East,Kalpataru Vivant,Freehold,"1 Covered,",2,NAN,"Garden/Park, Pool, Main Road",Poss. by Dec '25
374,1 BHK Apartment for Sale in Kandivali West Mumbai,"92 Lac22,010 per sqft",418 sqft,NAN,NAN,NAN,New Property,Unfurnished,West,NAN,Freehold,NAN,2,NAN,Garden/Park,Poss. by Dec '25
375,"3 BHK Apartment for Sale in Sugee Marina Bay, Worli Shivaji Nagar Mumbai","17.49 Cr96,312 per sqft",NAN,1817 sqft,NAN,32 out of 46,New Property,Unfurnished,East,Sugee Marina Bay,Freehold,"1 Covered,",4,1,Main Road,Poss. by Jul '27
376,3 BHK Apartment for Sale in Lokhandwala Complex Andheri West Mumbai,"5.26 Cr29,222 per sqft",1280 sqft,NAN,NAN,18 out of 29,New Property,Unfurnished,West,NAN,Freehold,2 Covered,4,1,Main Road,Poss. by Dec '26
377,3 BHK Apartment for Sale in Matunga East Mumbai,"5.65 Cr45,200 per sqft",1088 sqft,NAN,NAN,10 out of 23,New Property,Unfurnished,NAN,NAN,NAN,NAN,4,2,"Garden/Park, Main Road",Poss. by Oct '24
378,3 BHK Apartment for Sale in Kandivali West Mumbai,"3.90 Cr21,081 per sqft",1072 sqft,NAN,NAN,40 out of 46,Resale,Semi-Furnished,South -West,NAN,Freehold,1 Covered,3,1,"Pool, Garden/Park, Main Road",Poss. by Dec '25
379,2 BHK Apartment for Sale in Rambaug Powai Mumbai,"2.90 Cr20,055 per sqft",810 sqft,NAN,Ready to Move,14 out of 22,Resale,Unfurnished,East,NAN,Power Of Attorney,1 Covered,3,NAN,"Garden/Park, Main Road",NAN
